county,state,state_encoded,total_non_english_speakers_18_64,foreign_born_population,spanish_speakers_total,spanish_eng_very_well,spanish_eng_well,spanish_eng_not_well,spanish_eng_not_at_all,indo_euro_speakers_total,indo_euro_eng_very_well,indo_euro_eng_well,indo_euro_eng_not_well,indo_euro_eng_not_at_all,asian_pac_speakers_total,asian_pac_eng_very_well,asian_pac_eng_well,asian_pac_eng_not_well,asian_pac_eng_not_at_all,other_lang_speakers_total,other_lang_eng_very_well,other_lang_eng_well,other_lang_eng_not_well,other_lang_eng_not_at_all,total_enrolled_in_school,enrolled_college_or_grad_school,median_household_income_usd
Autauga County,Alabama,0,34424,1552.0,646,514,97,35,0,273,240,33,0,0,315,182,99,16,18,161,7,37,117,0,13743,2430,68315
Baldwin County,Alabama,0,127387,8106.0,4350,2039,1219,785,307,2096,1459,441,174,22,605,283,161,161,0,87,80,7,0,0,47838,7417,71039
Barbour County,Alabama,0,13587,776.0,958,597,106,226,29,97,69,0,28,0,97,47,20,30,0,61,30,31,0,0,5258,841,39712
Bibb County,Alabama,0,13610,244.0,161,93,7,61,0,7,7,0,0,0,24,0,24,0,0,0,0,0,0,0,4488,461,50669
Blount County,Alabama,0,31504,2843.0,3053,1359,649,706,339,144,144,0,0,0,8,8,0,0,0,13,4,0,9,0,12727,1754,57440
Bullock County,Alabama,0,5873,389.0,548,421,36,91,0,0,0,0,0,0,0,0,0,0,0,18,10,0,8,0,2510,414,36136
Butler County,Alabama,0,10373,322.0,219,168,51,0,0,90,77,13,0,0,44,37,0,7,0,0,0,0,0,0,3965,624,44429
Calhoun County,Alabama,0,67980,2698.0,1961,1134,474,251,102,381,306,53,22,0,336,240,86,10,0,111,111,0,0,0,27716,7125,54339
Chambers County,Alabama,0,19896,508.0,499,327,100,72,0,130,130,0,0,0,66,64,2,0,0,0,0,0,0,0,6793,1362,48805
Cherokee County,Alabama,0,14015,493.0,374,98,67,135,74,57,57,0,0,0,57,34,21,2,0,13,13,0,0,0,4779,934,46621
Chilton County,Alabama,0,24647,1839.0,1992,613,552,763,64,86,86,0,0,0,105,16,54,3,32,0,0,0,0,0,9783,1463,62471
Choctaw County,Alabama,0,7016,56.0,121,104,6,11,0,47,9,38,0,0,0,0,0,0,0,9,0,9,0,0,2515,540,43299
